Index,TS_File_Name,Declared_Duration(s),Actual_Duration(s),Difference(s),File_Size(KB),Status
1,"2025-12-11_05-04-26-000000.ts",8,10.773333,2.773333,3417.5,"⚠️ MISMATCH"
2,"2025-12-11_05-04-35-000000.ts",8,6.009178,-1.990822,2023.7,"⚠️ MISMATCH"
3,"2025-12-11_05-04-41-000000.ts",8,8.003333,.003333,2716.2,"✓ OK"
4,"2025-12-11_05-04-49-000000.ts",8,8.005944,.005944,2736.6,"✓ OK"
5,"2025-12-11_05-04-57-000000.ts",8,8.005767,.005767,2693.1,"✓ OK"
6,"2025-12-11_05-05-05-000000.ts",8,N/A,N/A,N/A,"❌ FAILED"
7,"2025-12-11_05-05-22-000000.ts",8,10.775467,2.775467,3418.5,"⚠️ MISMATCH"
8,"2025-12-11_05-05-31-000000.ts",8,6.012178,-1.987822,2053.8,"⚠️ MISMATCH"
9,"2025-12-11_05-05-37-000000.ts",8,8.004367,.004367,2689.0,"✓ OK"
10,"2025-12-11_05-05-45-000000.ts",8,8.004489,.004489,2718.8,"✓ OK"
11,"2025-12-11_05-05-53-000000.ts",8,8.005744,.005744,2708.1,"✓ OK"
12,"2025-12-11_05-06-01-000000.ts",8,N/A,N/A,N/A,"❌ FAILED"
13,"2025-12-11_05-06-06-000000.ts",8,8.806689,.806689,2733.3,"⚠️ MISMATCH"
14,"2025-12-11_05-06-13-000000.ts",8,9.938300,1.938300,3346.9,"⚠️ MISMATCH"
15,"2025-12-11_05-06-23-000000.ts",8,8.010322,.010322,2682.3,"✓ OK"
16,"2025-12-11_05-06-31-000000.ts",8,8.009690,.009690,2696.0,"✓ OK"
17,"2025-12-11_05-06-39-000000.ts",8,6.037367,-1.962633,2048.0,"⚠️ MISMATCH"
18,"2025-12-11_05-06-50-000000.ts",8,8.654489,.654489,2707.0,"⚠️ MISMATCH"
19,"2025-12-11_05-06-57-000000.ts",8,8.004333,.004333,2686.5,"✓ OK"
20,"2025-12-11_05-07-05-000000.ts",8,9.965822,1.965822,3365.8,"⚠️ MISMATCH"
21,"2025-12-11_05-07-15-000000.ts",8,8.011567,.011567,2665.0,"✓ OK"
22,"2025-12-11_05-07-23-000000.ts",8,4.506533,-3.493467,1536.0,"⚠️ MISMATCH"
23,"2025-12-11_05-07-32-000000.ts",8,8.787823,.787823,2726.9,"⚠️ MISMATCH"
24,"2025-12-11_05-07-39-000000.ts",8,8.010422,.010422,2679.7,"✓ OK"
25,"2025-12-11_05-07-47-000000.ts",8,9.971322,1.971322,3353.5,"⚠️ MISMATCH"
26,"2025-12-11_05-07-57-000000.ts",8,8.049711,.049711,2694.4,"✓ OK"
27,"2025-12-11_05-08-05-000000.ts",8,6.005333,-1.994667,2048.0,"⚠️ MISMATCH"
28,"2025-12-11_05-08-16-000000.ts",8,8.777400,.777400,2695.8,"⚠️ MISMATCH"
29,"2025-12-11_05-08-23-000000.ts",8,8.005367,.005367,2679.1,"✓ OK"
30,"2025-12-11_05-08-31-000000.ts",8,7.997756,-.002244,2659.9,"✓ OK"
31,"2025-12-11_05-08-39-000000.ts",8,8.009578,.009578,2679.9,"✓ OK"
32,"2025-12-11_05-08-47-000000.ts",8,8.005367,.005367,2686.7,"✓ OK"
33,"2025-12-11_05-08-55-000000.ts",8,N/A,N/A,N/A,"❌ FAILED"
34,"2025-12-11_05-09-00-000000.ts",8,10.793200,2.793200,3367.4,"⚠️ MISMATCH"
35,"2025-12-11_05-09-09-000000.ts",8,8.010233,.010233,2686.7,"✓ OK"
36,"2025-12-11_05-09-17-000000.ts",8,8.015700,.015700,2662.8,"✓ OK"
37,"2025-12-11_05-09-25-000000.ts",8,6.010844,-1.989156,1998.0,"⚠️ MISMATCH"
38,"2025-12-11_05-09-31-000000.ts",8,8.013433,.013433,2667.0,"✓ OK"
39,"2025-12-11_05-09-39-000000.ts",8,N/A,N/A,N/A,"❌ FAILED"
40,"2025-12-11_05-09-44-000000.ts",8,8.676567,.676567,2677.1,"⚠️ MISMATCH"
41,"2025-12-11_05-09-51-000000.ts",8,8.002022,.002022,2656.0,"✓ OK"
42,"2025-12-11_05-09-59-000000.ts",8,8.006711,.006711,2685.0,"✓ OK"
43,"2025-12-11_05-10-07-000000.ts",8,8.005333,.005333,2723.4,"✓ OK"
44,"2025-12-11_05-10-15-000000.ts",8,7.998778,-.001222,2712.7,"✓ OK"
45,"2025-12-11_05-10-23-000000.ts",8,N/A,N/A,N/A,"❌ FAILED"
46,"2025-12-11_05-10-28-000000.ts",8,8.767744,.767744,2698.6,"⚠️ MISMATCH"
47,"2025-12-11_05-10-35-000000.ts",8,8.001733,.001733,2686.5,"✓ OK"
48,"2025-12-11_05-10-43-000000.ts",8,10.008056,2.008056,3359.9,"⚠️ MISMATCH"
49,"2025-12-11_05-10-53-000000.ts",8,6.002644,-1.997356,1998.4,"⚠️ MISMATCH"
50,"2025-12-11_05-10-59-000000.ts",8,7.671333,-.328667,2560.0,"✓ OK"
51,"2025-12-11_05-11-12-000000.ts",8,8.786011,.786011,2693.5,"⚠️ MISMATCH"
